/home/rr568/.conda/envs/icu-benchmark/lib/python3.8/site-packages/lightgbm/engine.py:153: UserWarning: Found `early_stopping_rounds` in params. Will use it instead of argument
  _log_warning("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Warning] num_threads is set=10, n_jobs=-1 will be ignored. Current value: num_threads=10
[LightGBM] [Warning] early_stopping_round is set=200, early_stopping_rounds=200 will be ignored. Current value: early_stopping_round=200
[1]	valid_0's auc: 0.792688
[752]	valid_0's auc: 0.831313
[753]	valid_0's auc: 0.831327
[754]	valid_0's auc: 0.831336
[755]	valid_0's auc: 0.831346
[756]	valid_0's auc: 0.831356
[757]	valid_0's auc: 0.831367
[758]	valid_0's auc: 0.831379
[759]	valid_0's auc: 0.83139
[760]	valid_0's auc: 0.831399
[761]	valid_0's auc: 0.831413
[762]	valid_0's auc: 0.831426
[763]	valid_0's auc: 0.831445
[764]	valid_0's auc: 0.831453
[765]	valid_0's auc: 0.831465
[766]	valid_0's auc: 0.831478
[767]	valid_0's auc: 0.831489
[768]	valid_0's auc: 0.831504
[769]	valid_0's auc: 0.831516
[770]	valid_0's auc: 0.831533
[771]	valid_0's auc: 0.831544
[772]	valid_0's auc: 0.831555
[773]	valid_0's auc: 0.831569
[774]	valid_0's auc: 0.831578
[775]	valid_0's auc: 0.831587
[776]	valid_0's auc: 0.831607
[777]	valid_0's auc: 0.831622
[778]	valid_0's auc: 0.831635
[779]	valid_0's auc: 0.831648
[780]	valid_0's auc: 0.831664
[781]	valid_0's auc: 0.831679
[782]	valid_0's auc: 0.831691
[783]	valid_0's auc: 0.831707
[784]	valid_0's auc: 0.831718
[785]	valid_0's auc: 0.83173
[786]	valid_0's auc: 0.831738
[787]	valid_0's auc: 0.831749
[788]	valid_0's auc: 0.831766
[789]	valid_0's auc: 0.831775
[790]	valid_0's auc: 0.831789
[791]	valid_0's auc: 0.831806
[792]	valid_0's auc: 0.831818
[793]	valid_0's auc: 0.831829
[794]	valid_0's auc: 0.831843
[795]	valid_0's auc: 0.831856
[796]	valid_0's auc: 0.831865
[797]	valid_0's auc: 0.831878
[798]	valid_0's auc: 0.831889
[799]	valid_0's auc: 0.831904
[800]	valid_0's auc: 0.831922
[801]	valid_0's auc: 0.831937
[802]	valid_0's auc: 0.831947
[803]	valid_0's auc: 0.831961
[804]	valid_0's auc: 0.83197
[805]	valid_0's auc: 0.831983
[806]	valid_0's auc: 0.831997
[807]	valid_0's auc: 0.832011
[808]	valid_0's auc: 0.832022
[809]	valid_0's auc: 0.832033
[810]	valid_0's auc: 0.832054
[811]	valid_0's auc: 0.832066
[812]	valid_0's auc: 0.832075
[813]	valid_0's auc: 0.832085
[814]	valid_0's auc: 0.832095
[815]	valid_0's auc: 0.832103
[816]	valid_0's auc: 0.832117
[817]	valid_0's auc: 0.832131
[818]	valid_0's auc: 0.832147
[819]	valid_0's auc: 0.83216
[820]	valid_0's auc: 0.832169
[821]	valid_0's auc: 0.832186
[822]	valid_0's auc: 0.832199
[823]	valid_0's auc: 0.832207
[824]	valid_0's auc: 0.832221
[825]	valid_0's auc: 0.832231
[826]	valid_0's auc: 0.832243
[827]	valid_0's auc: 0.832256
[828]	valid_0's auc: 0.832269
[829]	valid_0's auc: 0.832279
[830]	valid_0's auc: 0.832294
[831]	valid_0's auc: 0.832306
[832]	valid_0's auc: 0.832319
[833]	valid_0's auc: 0.832328
[834]	valid_0's auc: 0.832343
[835]	valid_0's auc: 0.832352
[836]	valid_0's auc: 0.832361
[837]	valid_0's auc: 0.83237
[838]	valid_0's auc: 0.832387
[839]	valid_0's auc: 0.8324
[840]	valid_0's auc: 0.83241
[841]	valid_0's auc: 0.832418
[842]	valid_0's auc: 0.832425
[843]	valid_0's auc: 0.832438
[844]	valid_0's auc: 0.832452
[845]	valid_0's auc: 0.832467
[846]	valid_0's auc: 0.83248
[847]	valid_0's auc: 0.832493
[848]	valid_0's auc: 0.832501
[849]	valid_0's auc: 0.832512
[850]	valid_0's auc: 0.832524
[851]	valid_0's auc: 0.832532
[852]	valid_0's auc: 0.832547
[853]	valid_0's auc: 0.832561
[854]	valid_0's auc: 0.832575
[855]	valid_0's auc: 0.832592
[856]	valid_0's auc: 0.832604
[857]	valid_0's auc: 0.832613
[858]	valid_0's auc: 0.83262
[859]	valid_0's auc: 0.832633
[860]	valid_0's auc: 0.832646
[861]	valid_0's auc: 0.832661
[862]	valid_0's auc: 0.832678
[863]	valid_0's auc: 0.832686
[864]	valid_0's auc: 0.832691
[865]	valid_0's auc: 0.832701
[866]	valid_0's auc: 0.83271
[867]	valid_0's auc: 0.832722
[868]	valid_0's auc: 0.832729
[869]	valid_0's auc: 0.832738
[870]	valid_0's auc: 0.832751
[871]	valid_0's auc: 0.832759
[872]	valid_0's auc: 0.832776
[873]	valid_0's auc: 0.832787
[874]	valid_0's auc: 0.832804
[875]	valid_0's auc: 0.832813
[876]	valid_0's auc: 0.832825
[877]	valid_0's auc: 0.832836
[878]	valid_0's auc: 0.832847
[879]	valid_0's auc: 0.832864
[880]	valid_0's auc: 0.832872
[881]	valid_0's auc: 0.832887
[882]	valid_0's auc: 0.832896
[883]	valid_0's auc: 0.832906
[884]	valid_0's auc: 0.83292
[885]	valid_0's auc: 0.832929
[886]	valid_0's auc: 0.832937
[887]	valid_0's auc: 0.832948
[888]	valid_0's auc: 0.832962
[889]	valid_0's auc: 0.832974
[890]	valid_0's auc: 0.832983
[891]	valid_0's auc: 0.832991
[892]	valid_0's auc: 0.833004
[893]	valid_0's auc: 0.83301
[894]	valid_0's auc: 0.833019
[895]	valid_0's auc: 0.833029
[896]	valid_0's auc: 0.833039
[897]	valid_0's auc: 0.833046
[898]	valid_0's auc: 0.833057
[899]	valid_0's auc: 0.833067
[900]	valid_0's auc: 0.833077
[901]	valid_0's auc: 0.83309
[902]	valid_0's auc: 0.833101
[903]	valid_0's auc: 0.833111
[904]	valid_0's auc: 0.833127
[905]	valid_0's auc: 0.833134
[906]	valid_0's auc: 0.833143
[907]	valid_0's auc: 0.833154
[908]	valid_0's auc: 0.833165
[909]	valid_0's auc: 0.833172
[910]	valid_0's auc: 0.83318
[911]	valid_0's auc: 0.833187
[912]	valid_0's auc: 0.833202
[913]	valid_0's auc: 0.833208
[914]	valid_0's auc: 0.833215
[915]	valid_0's auc: 0.833225
[916]	valid_0's auc: 0.833235
[917]	valid_0's auc: 0.833243
[918]	valid_0's auc: 0.833251
[919]	valid_0's auc: 0.833258
[920]	valid_0's auc: 0.833277
[921]	valid_0's auc: 0.833288
[922]	valid_0's auc: 0.833298
[923]	valid_0's auc: 0.833304
[924]	valid_0's auc: 0.833315
[925]	valid_0's auc: 0.833325
[926]	valid_0's auc: 0.833341
[927]	valid_0's auc: 0.833349
[928]	valid_0's auc: 0.833357
[929]	valid_0's auc: 0.83337
[930]	valid_0's auc: 0.833377
[931]	valid_0's auc: 0.833393
[932]	valid_0's auc: 0.833404
[933]	valid_0's auc: 0.833413
[934]	valid_0's auc: 0.833421
[935]	valid_0's auc: 0.833437
[936]	valid_0's auc: 0.833443
[937]	valid_0's auc: 0.833453
[938]	valid_0's auc: 0.833463
[939]	valid_0's auc: 0.833468
[940]	valid_0's auc: 0.833483
[941]	valid_0's auc: 0.833488
[942]	valid_0's auc: 0.833501
[943]	valid_0's auc: 0.833509
[944]	valid_0's auc: 0.833519
[945]	valid_0's auc: 0.833528
[946]	valid_0's auc: 0.833538
[947]	valid_0's auc: 0.833547
[948]	valid_0's auc: 0.833557
[949]	valid_0's auc: 0.833565
[950]	valid_0's auc: 0.833576
[951]	valid_0's auc: 0.833583
[952]	valid_0's auc: 0.833591
[953]	valid_0's auc: 0.833599
[954]	valid_0's auc: 0.833607
[955]	valid_0's auc: 0.833616
[956]	valid_0's auc: 0.833626
[957]	valid_0's auc: 0.833634
[958]	valid_0's auc: 0.833645
[959]	valid_0's auc: 0.833654
[960]	valid_0's auc: 0.833671
[961]	valid_0's auc: 0.833685
[962]	valid_0's auc: 0.833694
[963]	valid_0's auc: 0.833701
[964]	valid_0's auc: 0.83371
[965]	valid_0's auc: 0.83372
[966]	valid_0's auc: 0.83373
[967]	valid_0's auc: 0.833741
[968]	valid_0's auc: 0.833749
[969]	valid_0's auc: 0.833758
[970]	valid_0's auc: 0.833769
[971]	valid_0's auc: 0.833778
[972]	valid_0's auc: 0.833784
[973]	valid_0's auc: 0.833796
[974]	valid_0's auc: 0.833806
[975]	valid_0's auc: 0.833819
[976]	valid_0's auc: 0.833833
[977]	valid_0's auc: 0.833841
[978]	valid_0's auc: 0.833849
[979]	valid_0's auc: 0.833864
[980]	valid_0's auc: 0.833871
[981]	valid_0's auc: 0.833877
[982]	valid_0's auc: 0.833886
[983]	valid_0's auc: 0.833893
[984]	valid_0's auc: 0.833899
[985]	valid_0's auc: 0.833916
[986]	valid_0's auc: 0.833926
[987]	valid_0's auc: 0.833932
[988]	valid_0's auc: 0.833946
[989]	valid_0's auc: 0.833954
[990]	valid_0's auc: 0.83396
[991]	valid_0's auc: 0.833966
[992]	valid_0's auc: 0.833976
[993]	valid_0's auc: 0.833983
[994]	valid_0's auc: 0.83399
[995]	valid_0's auc: 0.833994
[996]	valid_0's auc: 0.834005
[997]	valid_0's auc: 0.834015
[998]	valid_0's auc: 0.834026
[999]	valid_0's auc: 0.834033
[1000]	valid_0's auc: 0.83404
[1001]	valid_0's auc: 0.834048
[1002]	valid_0's auc: 0.834054
[1003]	valid_0's auc: 0.834061
[1004]	valid_0's auc: 0.834068
[1005]	valid_0's auc: 0.834076
[1006]	valid_0's auc: 0.834086
[1007]	valid_0's auc: 0.834089
[1008]	valid_0's auc: 0.8341
[1009]	valid_0's auc: 0.834108
[1010]	valid_0's auc: 0.834116
[1011]	valid_0's auc: 0.834127
[1012]	valid_0's auc: 0.834133
[1013]	valid_0's auc: 0.834141
[1014]	valid_0's auc: 0.834147
[1015]	valid_0's auc: 0.834157
[1016]	valid_0's auc: 0.834166
[1017]	valid_0's auc: 0.834173
[1018]	valid_0's auc: 0.834181
[1019]	valid_0's auc: 0.834189
[1020]	valid_0's auc: 0.834193
[1021]	valid_0's auc: 0.834198
[1022]	valid_0's auc: 0.834207
[1023]	valid_0's auc: 0.834213
[1024]	valid_0's auc: 0.83422
[1025]	valid_0's auc: 0.834231
[1026]	valid_0's auc: 0.83424
[1027]	valid_0's auc: 0.834246
[1028]	valid_0's auc: 0.834255
[1029]	valid_0's auc: 0.834262
[1030]	valid_0's auc: 0.834271
[1031]	valid_0's auc: 0.834278
[1032]	valid_0's auc: 0.834285
[1033]	valid_0's auc: 0.834293
[1034]	valid_0's auc: 0.834301
[1035]	valid_0's auc: 0.83431
[1036]	valid_0's auc: 0.834315
[1037]	valid_0's auc: 0.834326
[1038]	valid_0's auc: 0.834333
[1039]	valid_0's auc: 0.834343
[1040]	valid_0's auc: 0.834352
[1041]	valid_0's auc: 0.834361
[1042]	valid_0's auc: 0.834365
[1043]	valid_0's auc: 0.834379
[1044]	valid_0's auc: 0.834387
[1045]	valid_0's auc: 0.834391
[1046]	valid_0's auc: 0.834396
[1047]	valid_0's auc: 0.834404
[1048]	valid_0's auc: 0.834413
[1049]	valid_0's auc: 0.834418
[1050]	valid_0's auc: 0.834426
[1051]	valid_0's auc: 0.834433
[1052]	valid_0's auc: 0.83444
[1053]	valid_0's auc: 0.834449
[1054]	valid_0's auc: 0.834457
[1055]	valid_0's auc: 0.834466
[1056]	valid_0's auc: 0.834474
[1057]	valid_0's auc: 0.834478
[1058]	valid_0's auc: 0.834486
[1059]	valid_0's auc: 0.834494
[1060]	valid_0's auc: 0.834499
[1061]	valid_0's auc: 0.834513
[1062]	valid_0's auc: 0.834519
[1063]	valid_0's auc: 0.834529
[1064]	valid_0's auc: 0.834536
[1065]	valid_0's auc: 0.834544
[1066]	valid_0's auc: 0.834552
[1067]	valid_0's auc: 0.834558
[1068]	valid_0's auc: 0.834563
[1069]	valid_0's auc: 0.834576
[1070]	valid_0's auc: 0.834584
[1071]	valid_0's auc: 0.834594
[1072]	valid_0's auc: 0.834603
[1073]	valid_0's auc: 0.834611
[1074]	valid_0's auc: 0.834617
[1075]	valid_0's auc: 0.834626
[1076]	valid_0's auc: 0.834632
[1077]	valid_0's auc: 0.834637
[1078]	valid_0's auc: 0.834642
[1079]	valid_0's auc: 0.834653
[1080]	valid_0's auc: 0.834667
[1081]	valid_0's auc: 0.834673
[1082]	valid_0's auc: 0.834681
[1083]	valid_0's auc: 0.834685
[1084]	valid_0's auc: 0.834691
[1085]	valid_0's auc: 0.834705
[1086]	valid_0's auc: 0.834711
[1087]	valid_0's auc: 0.834717
[1088]	valid_0's auc: 0.834723
[1089]	valid_0's auc: 0.834732
[1090]	valid_0's auc: 0.834739
[1091]	valid_0's auc: 0.834746
[1092]	valid_0's auc: 0.834759
[1093]	valid_0's auc: 0.834765
[1094]	valid_0's auc: 0.834776
[1095]	valid_0's auc: 0.834781
[1096]	valid_0's auc: 0.834795
[1097]	valid_0's auc: 0.834801
[1098]	valid_0's auc: 0.834811
[1099]	valid_0's auc: 0.834817
[1100]	valid_0's auc: 0.834826
[1101]	valid_0's auc: 0.834831
[1102]	valid_0's auc: 0.834836
[1103]	valid_0's auc: 0.834839
[1104]	valid_0's auc: 0.834844
[1105]	valid_0's auc: 0.834851
[1106]	valid_0's auc: 0.834858
[1107]	valid_0's auc: 0.83487
[1108]	valid_0's auc: 0.834881
[1109]	valid_0's auc: 0.834887
[1110]	valid_0's auc: 0.834897
[1111]	valid_0's auc: 0.834906
[1112]	valid_0's auc: 0.834911
[1113]	valid_0's auc: 0.834916
[1114]	valid_0's auc: 0.834921
[1115]	valid_0's auc: 0.834928
[1116]	valid_0's auc: 0.834938
[1117]	valid_0's auc: 0.834943
[1118]	valid_0's auc: 0.834954
[1119]	valid_0's auc: 0.83496
[1120]	valid_0's auc: 0.834965
[1121]	valid_0's auc: 0.834971
[1122]	valid_0's auc: 0.834978
[1123]	valid_0's auc: 0.834985
[1124]	valid_0's auc: 0.834991
[1125]	valid_0's auc: 0.834997
[1126]	valid_0's auc: 0.835001
[1127]	valid_0's auc: 0.835009
[1128]	valid_0's auc: 0.835018
[1129]	valid_0's auc: 0.835025
[1130]	valid_0's auc: 0.835035
[1131]	valid_0's auc: 0.835041
[1132]	valid_0's auc: 0.835053
[1133]	valid_0's auc: 0.83506
[1134]	valid_0's auc: 0.835067
[1135]	valid_0's auc: 0.835072
[1136]	valid_0's auc: 0.835083
[1137]	valid_0's auc: 0.83509
[1138]	valid_0's auc: 0.835095
[1139]	valid_0's auc: 0.835103
[1140]	valid_0's auc: 0.835114
[1141]	valid_0's auc: 0.835119
[1142]	valid_0's auc: 0.835133
[1143]	valid_0's auc: 0.83514
[1144]	valid_0's auc: 0.835147
[1145]	valid_0's auc: 0.835157
[1146]	valid_0's auc: 0.835168
[1147]	valid_0's auc: 0.835172
[1148]	valid_0's auc: 0.835177
[1149]	valid_0's auc: 0.835182
[1150]	valid_0's auc: 0.835188
[1151]	valid_0's auc: 0.835194
[1152]	valid_0's auc: 0.8352
[1153]	valid_0's auc: 0.835208
[1154]	valid_0's auc: 0.835214
[1155]	valid_0's auc: 0.835222
[1156]	valid_0's auc: 0.835231
[1157]	valid_0's auc: 0.83524
[1158]	valid_0's auc: 0.835247
[1159]	valid_0's auc: 0.835254
[1160]	valid_0's auc: 0.835264
[1161]	valid_0's auc: 0.835268
[1162]	valid_0's auc: 0.835276
[1163]	valid_0's auc: 0.835281
[1164]	valid_0's auc: 0.835285
[1165]	valid_0's auc: 0.835294
[1166]	valid_0's auc: 0.835299
[1167]	valid_0's auc: 0.835303
[1168]	valid_0's auc: 0.835315
[1169]	valid_0's auc: 0.835323
[1170]	valid_0's auc: 0.835335
[1171]	valid_0's auc: 0.835344
[1172]	valid_0's auc: 0.835348
[1173]	valid_0's auc: 0.835356
[1174]	valid_0's auc: 0.83536
[1175]	valid_0's auc: 0.835364
[1176]	valid_0's auc: 0.835368
[1177]	valid_0's auc: 0.835375
[1178]	valid_0's auc: 0.83538
[1179]	valid_0's auc: 0.835386
[1180]	valid_0's auc: 0.835393
[1181]	valid_0's auc: 0.835395
[1182]	valid_0's auc: 0.835404
[1183]	valid_0's auc: 0.835408
[1184]	valid_0's auc: 0.835417
[1185]	valid_0's auc: 0.835428
[1186]	valid_0's auc: 0.835441
[1187]	valid_0's auc: 0.835451
[1188]	valid_0's auc: 0.835457
[1189]	valid_0's auc: 0.835461
[1190]	valid_0's auc: 0.835469
[1191]	valid_0's auc: 0.835474
[1192]	valid_0's auc: 0.835479
[1193]	valid_0's auc: 0.835486
[1194]	valid_0's auc: 0.835493
[1195]	valid_0's auc: 0.835496
[1196]	valid_0's auc: 0.835502
[1197]	valid_0's auc: 0.83551
[1198]	valid_0's auc: 0.835515
[1199]	valid_0's auc: 0.835519
[1200]	valid_0's auc: 0.835524
[1201]	valid_0's auc: 0.835531
[1202]	valid_0's auc: 0.835539
[1203]	valid_0's auc: 0.835548
[1204]	valid_0's auc: 0.835556
[1205]	valid_0's auc: 0.835567
[1206]	valid_0's auc: 0.835571
[1207]	valid_0's auc: 0.835582
[1208]	valid_0's auc: 0.835591
[1209]	valid_0's auc: 0.835595
[1210]	valid_0's auc: 0.835602
[1211]	valid_0's auc: 0.835608
[1212]	valid_0's auc: 0.835617
[1213]	valid_0's auc: 0.835624
[1214]	valid_0's auc: 0.835629
[1215]	valid_0's auc: 0.835636
[1216]	valid_0's auc: 0.83564
[1217]	valid_0's auc: 0.835643
[1218]	valid_0's auc: 0.835651
[1219]	valid_0's auc: 0.835655
[1220]	valid_0's auc: 0.83566
[1221]	valid_0's auc: 0.835666
[1222]	valid_0's auc: 0.835673
[1223]	valid_0's auc: 0.83568
[1224]	valid_0's auc: 0.835688
[1225]	valid_0's auc: 0.835694
[1226]	valid_0's auc: 0.835702
[1227]	valid_0's auc: 0.835712
[1228]	valid_0's auc: 0.835716
[1229]	valid_0's auc: 0.83572
[1230]	valid_0's auc: 0.835726
[1231]	valid_0's auc: 0.835733
[1232]	valid_0's auc: 0.835744
[1233]	valid_0's auc: 0.835748
[1234]	valid_0's auc: 0.835754
[1235]	valid_0's auc: 0.835761
[1236]	valid_0's auc: 0.835773
[1237]	valid_0's auc: 0.835778
[1238]	valid_0's auc: 0.835784
[1239]	valid_0's auc: 0.83579
[1240]	valid_0's auc: 0.835793
[1241]	valid_0's auc: 0.8358
